施設,年月日,時刻,人数
近江町市場,2024/10/16,0,0
近江町市場,2024/10/16,1,0
近江町市場,2024/10/16,2,0
近江町市場,2024/10/16,3,0
近江町市場,2024/10/16,4,0
近江町市場,2024/10/16,5,0
近江町市場,2024/10/16,6,0
近江町市場,2024/10/16,7,0
近江町市場,2024/10/16,8,0
近江町市場,2024/10/16,9,0
近江町市場,2024/10/16,10,0
近江町市場,2024/10/16,11,0
近江町市場,2024/10/16,12,0
近江町市場,2024/10/16,13,0
近江町市場,2024/10/16,14,0
近江町市場,2024/10/16,15,0
近江町市場,2024/10/16,16,0
近江町市場,2024/10/16,17,1
近江町市場,2024/10/16,18,0
近江町市場,2024/10/16,19,0
近江町市場,2024/10/16,20,0
近江町市場,2024/10/16,21,0
近江町市場,2024/10/16,22,0
近江町市場,2024/10/16,23,0
近江町市場,2024/10/17,0,0
近江町市場,2024/10/17,1,0
近江町市場,2024/10/17,2,0
近江町市場,2024/10/17,3,0
近江町市場,2024/10/17,4,0
近江町市場,2024/10/17,5,0
近江町市場,2024/10/17,6,0
近江町市場,2024/10/17,7,0
近江町市場,2024/10/17,8,0
近江町市場,2024/10/17,9,0
近江町市場,2024/10/17,10,0
近江町市場,2024/10/17,11,64
近江町市場,2024/10/17,12,70
近江町市場,2024/10/17,13,75
近江町市場,2024/10/17,14,71
近江町市場,2024/10/17,15,49
近江町市場,2024/10/17,16,47
近江町市場,2024/10/17,17,34
近江町市場,2024/10/17,18,19
近江町市場,2024/10/17,19,20
近江町市場,2024/10/17,20,14
近江町市場,2024/10/17,21,6
近江町市場,2024/10/17,22,6
近江町市場,2024/10/17,23,5
近江町市場,2024/10/18,0,3
近江町市場,2024/10/18,1,2
近江町市場,2024/10/18,2,3
近江町市場,2024/10/18,3,2
近江町市場,2024/10/18,4,7
近江町市場,2024/10/18,5,10
近江町市場,2024/10/18,6,11
近江町市場,2024/10/18,7,22
近江町市場,2024/10/18,8,40
近江町市場,2024/10/18,9,60
近江町市場,2024/10/18,10,64
近江町市場,2024/10/18,11,70
近江町市場,2024/10/18,12,93
近江町市場,2024/10/18,13,97
近江町市場,2024/10/18,14,73
近江町市場,2024/10/18,15,64
近江町市場,2024/10/18,16,50
近江町市場,2024/10/18,17,28
近江町市場,2024/10/18,18,25
近江町市場,2024/10/18,19,19
近江町市場,2024/10/18,20,15
近江町市場,2024/10/18,21,10
近江町市場,2024/10/18,22,3
近江町市場,2024/10/18,23,8
近江町市場,2024/10/19,0,3
近江町市場,2024/10/19,1,1
近江町市場,2024/10/19,2,3
