施設,年月日,時刻,人数
近江町市場,2025/9/1,0,0
近江町市場,2025/9/1,1,0
近江町市場,2025/9/1,2,0
近江町市場,2025/9/1,3,0
近江町市場,2025/9/1,4,0
近江町市場,2025/9/1,5,0
近江町市場,2025/9/1,6,0
近江町市場,2025/9/1,7,0
近江町市場,2025/9/1,8,0
近江町市場,2025/9/1,9,0
近江町市場,2025/9/1,10,0
近江町市場,2025/9/1,11,0
近江町市場,2025/9/1,12,0
近江町市場,2025/9/1,13,0
近江町市場,2025/9/1,14,0
近江町市場,2025/9/1,15,0
近江町市場,2025/9/1,16,0
近江町市場,2025/9/1,17,1
近江町市場,2025/9/1,18,0
近江町市場,2025/9/1,19,0
近江町市場,2025/9/1,20,0
近江町市場,2025/9/1,21,0
近江町市場,2025/9/1,22,0
近江町市場,2025/9/1,23,0
近江町市場,2025/9/2,0,0
近江町市場,2025/9/2,1,0
近江町市場,2025/9/2,2,0
近江町市場,2025/9/2,3,0
近江町市場,2025/9/2,4,0
近江町市場,2025/9/2,5,0
近江町市場,2025/9/2,6,0
近江町市場,2025/9/2,7,0
近江町市場,2025/9/2,8,0
近江町市場,2025/9/2,9,0
近江町市場,2025/9/2,10,0
近江町市場,2025/9/2,11,64
近江町市場,2025/9/2,12,70
近江町市場,2025/9/2,13,75
近江町市場,2025/9/2,14,71
近江町市場,2025/9/2,15,49
近江町市場,2025/9/2,16,47
近江町市場,2025/9/2,17,34
近江町市場,2025/9/2,18,19
近江町市場,2025/9/2,19,20
近江町市場,2025/9/2,20,14
近江町市場,2025/9/2,21,6
近江町市場,2025/9/2,22,6
近江町市場,2025/9/2,23,5
近江町市場,2025/9/3,0,3
近江町市場,2025/9/3,1,2
近江町市場,2025/9/3,2,3
近江町市場,2025/9/3,3,2
近江町市場,2025/9/3,4,7
近江町市場,2025/9/3,5,10
近江町市場,2025/9/3,6,11
近江町市場,2025/9/3,7,22
近江町市場,2025/9/3,8,40
近江町市場,2025/9/3,9,60
近江町市場,2025/9/3,10,64
近江町市場,2025/9/3,11,70
